checklist_id,area,checkpoint,pass_1_fail_0,notes
1,Environment,Debug build installs on target device/emulator,,
2,Environment,env/google_maps.properties present with valid key,,
3,Environment,Firebase google-services.json matches project,,
4,Environment,Firestore rules deployed for your environment,,
5,Authentication & roles,New user: Get Started → register → profile created,,
6,Authentication & roles,Sign in with email/password,,
7,Authentication & roles,Sign in with Google (if enabled),,
8,Authentication & roles,Expat role lands on Community tab,,
9,Authentication & roles,Landlord / Agent land on correct home shell,,
10,Expat — Community,Feed loads posts; open thread,,
11,Expat — Community,Create post (text + optional images),,
12,Expat — Community,Like / comment,,
13,Expat — Community,Bowls list; join bowl; open thread,,
14,Expat — Estates,Listings stream loads; filters (All / Apartments / Houses / Short-Stay),,
15,Expat — Estates,Search filters list,,
16,Expat — Estates,Open listing detail,,
17,Expat — Estates,Get a Ride → Rides tab; To field prefilled / geocodes,,
18,Expat — Estates,Explore Area → Explore tab; search prefilled; results load,,
19,Expat — Rides,From / To autocomplete,,
20,Expat — Rides,Route draws; distance/time panel,,
21,Expat — Rides,RWF estimate panel (green card); dismiss,,
22,Expat — Rides,GPS From when permitted,,
23,Expat — Explore,Search place → map marker; open category results,,
24,Expat — Explore,Tabs: Food / Health / Fitness / Shopping load lists,,
25,Expat — Explore,Place photos rating line hours line,,
26,Expat — Explore,Continue in Google opens Maps / browser,,
27,Expat — Explore,Back → map + search preserved; shell returns,,
28,Expat — Explore,Cold start: Explore session restores within TTL (if used),,
29,Expat — Messages,Conversation list,,
30,Expat — Messages,Open chat; send message,,
31,Expat — Messages,Translation / language ID in composer (if configured),,
32,Expat — Messages,Open listing from chat where applicable,,
33,Cross-cutting,Splash → animation → Get Started / home,,
34,Cross-cutting,Account / profile screen from header,,
35,Cross-cutting,No unhandled red screen on tab switches,,
36,Cross-cutting,Airplane mode / API errors: user-visible message (Maps Places),,
37,Landlord / Agent / Admin,Landlord: listings / payments / key flows you ship,,
38,Landlord / Agent / Admin,Agent: assignments / listings / messages,,
39,Landlord / Agent / Admin,admin-web: login and one critical path,,
